text,frequency
AI,56793
the,56334
리니지,54710
2,47926
NC,46517
amp,43109
PLAY,43104
The,38856
M,37335
게임,31378
씨,29967
엔,29932
WE,28855
D,28673
Originality,28630
2021,26722
of,26552
to,26186
R,25382
GLOBAL,24693
수,22803
and,21541
소울,20469
블레이드,20377
3,20223
W,19853
아트,19338
NCSOFT,18896
Brand,17244
데이터,17028
a,16303
Lineage,15983
Works,15560
것,15004
검색,14861
in,14417
1,13987
VIEW,13794
기술,13137
Fei,12948
이온,12909
Creator,12667
Crew,12662
결과,12559
ncsoft,12431
사운드,12368
디자인,12326
News,12201
ESG,11671
FICTION,11598
EN,11535
다이노스,11506
웹툰,11275
Framework,10891
플랫폼,10820
버프,10495
2020,10303
유니버스,10286
that,10083
툰,10033
사이언스,9849
문화,9831
트릭스터,9630
윤리,9530
일,9491
is,9425
H,9420
프로야구,9253
인공지능,9003
퓨저,8794
Players,8708
Tiếng,8638
Việt,8638
비주얼,8626
02,8565
칼럼,8540
English,8512
글,8487
日本,8413
4,8394
for,8194
038,8078
윤송이,7985
https,7862
재단,7523
0,7466
play,7000
game,6948
사람,6899
users,6793
운영,6726
nc,6699
등,6684
の,6585
스타,6583
그램,6517
Li,6474
캐릭터,6473
정책,6448
개발,6438
content,6253
소프트,6249
on,6246
블로그,6224
연구,6215
인,6137
10,6029
08,5826
페이스북,5810
네이버,5676
이벤트,5640
youtube,5616
생각,5613
tv,5605
버블,5605
콘텐츠,5568
06,5445
Game,5379
09,5376
5,5306
정보,5042
be,5016
12,4905
건,4882
진행,4878
8,4857
년,4854
from,4813
때,4800
야구,4726
com,4665
07,4662
Art,4573
대표,4558
음성,4489
を,4458
과정,4437
모델,4424
공개,4383
I,4333
blog,4323
프로,4318
01,4318
Soul,4282
가능,4277
중,4274
시작,4263
with,4226
2186,4199
3300,4199
s,4199
9,4197
are,4163
추천,4072
its,4062
kakao,4062
Blade,4036
11,4019
IP,3988
월,3911
04,3902
사용,3880
분야,3846
태그,3825
8217,3786
업데이트,3752
link,3736
해시,3659
등록,3654
All,3644
게시,3624
Corporation,3594
Rights,3594
Reserved,3594
true,3590
was,3561
미래,3551
세계,3543
번호,3523
이야기,3498
Copyright,3496
말,3488
합성,3476
분석,3474
속,3459
팀,3459
ART,3437
8216,3423
젝,3405
토리,3396
즐거움,3387
as,3365
jQuery,3354
경영,3322
공간,3302
예술,3296
확인,3281
05,3235
wp,3233
생성,3213
net,3202
WEBTOON,3201
활용,3198
it,3195
not,3195
would,3158
uploads,3157
6,3150
서비스,3149
Future,3148
imgblog,3133
채용,3131
스토리,3062
ㅣ,3058
인간,3039
PROJECT,3028
A,3015
2019,3012
필요,2983
학습,2969
테스트,2925
global,2919
through,2889
때문,2881
영상,2865
will,2856
시스템,2835
time,2830
표현,2812
8211,2788
THE,2788
に,2786
플레이,2760
Ethics,2753
번,2738
프로젝트,2727
or,2693
동영상,2692
지속,2687
7,2647
원화,2617
제공,2615
제작,2606
문제,2602
SCIENCE,2600
사회,2599
has,2579
webtoon,2573
회사,2572
경험,2563
SEARCH,2550
컴퓨터,2544
Lab,2541
음악,2536
system,2515
03,2494
Design,2486
GAME,2464
Technology,2450
と,2445
facebook,2430
function,2428
BEYOND,2420
세상,2419
브랜드,2416
공식,2405
OVERLAY,2385
twitter,2384
other,2381
kakaotalk,2373
언어,2371
first,2367
중요,2338
내용,2324
기반,2322
과학,2309
그림,2302
TYPE,2294
TOON,2281
OST,2261
작업,2251
페이지,2249
CI,2241
b,2238
Character,2238
27,2236
an,2233
EP,2232
like,2188
home,2185
が,2181
ec,2178
상상,2174
연결,2173
열기,2163
쉐,2145
어창,2145
may,2140
다양,2135
had,2125
링크,2116
